Number	A	B	C	mX	mY	mZ	MSE
1	-0.020777109322683382	0.00802352620955882	1243.1443779254118	57302.68503560976	29992.199395609747	293.203424390244	0.04610754844160904
10	-0.021962255603141582	-0.0005086144933794961	1566.95944372152	57327.696907211524	29972.19795625001	292.6696168269231	0.03658577319374701
11	-0.021533859600421233	0.009083846376227066	1254.9058911141592	57332.69992115383	29972.22535240385	292.5746711538463	0.031700366745772035
12	-0.009131605558844081	-0.017705732401524815	1346.7239999308456	57332.673891707316	29967.209868780472	292.5932375609755	0.040026737932049174
13	-0.03697124384950779	-0.0025031277999610206	2487.3347443856246	57337.65080384612	29967.15873846154	292.47884663461537	0.04094405636916277
14	-0.016240829920887007	-0.012294116025673528	1592.0664443772591	57337.7116733032	29962.09995791856	292.49688778280546	0.06396714238751951
15	-0.01622732078713744	-0.006904045904323093	1429.7970876478955	57342.69998446602	29962.16187475729	292.41855922330103	0.04897150294358867
16	-0.024499555174108362	0.02093249239134893	1070.1792705943187	57342.67587522525	29957.281512612608	292.3897864864865	0.04804120727718362
17	-0.005262651068497798	0.029458465524217818	-288.3791261449169	57347.69058264836	29957.20549680366	292.3132940639269	0.0493149274532704
18	-0.017822116631006715	-0.011495630162925312	1658.78468809311	57352.65643577978	29957.094243577965	292.2632798165138	0.03706095386558742
19	-0.028315174213604296	0.019556262749121846	1330.4562560531292	57352.681157142855	29952.182389523812	292.25784619047613	0.05768398924252412
2	-0.007161388291257709	0.019064759789066292	131.78034015906925	57307.70122657009	29992.18372560386	293.171417874396	0.035757403701661125
20	-0.00435346392627336	0.012595718584201705	164.67352345249412	57357.66147085204	29952.289538116584	292.23962331838567	0.033127100736589386
21	0.006931854830545008	0.002913118520224758	-192.66271007984628	57357.709827884646	29947.204673557684	292.172364423077	0.052719692781885215
3	-0.014453989493202755	0.006702009051412569	920.4285800076215	57307.70309317078	29987.1837497561	293.07801853658543	0.045767395891182006
4	-0.019738538719331337	0.0070678711018397344	1212.313002610539	57312.66953779905	29987.168718660287	292.99009904306234	0.0340148828372183
5	0.0008549409161899656	0.02508447332646403	-508.1608712305028	57312.68322794118	29982.179070588234	292.92525784313716	0.033545289366085404
6	-0.00441018500370024	0.012227598144731724	179.0450815212315	57317.66464066985	29982.195679904322	292.87381674641136	0.042487567767517796
7	-0.008805663207312547	0.005879593412373902	621.2899017749438	57317.70654805822	29977.187016019423	292.82315339805837	0.04310141753828833
8	-0.007802215664768071	0.004518613198046085	604.52283509439	57322.68653543687	29977.207061165067	292.73427572815535	0.03240449237416856
9	-0.017445968276256402	0.012256016207440606	925.426090303316	57327.68802836539	29977.201751923087	292.69013413461556	0.03299980505516121
