1,57302.687,29992.189,290.916
2,57307.687,29992.189,290.916
3,57307.687,29987.189,290.916
4,57312.687,29987.189,290.916
5,57312.687,29982.189,290.916
6,57317.687,29982.189,290.916
7,57317.687,29977.189,290.916
8,57322.687,29977.189,290.916
9,57327.687,29977.189,290.916
10,57327.687,29972.189,290.916
11,57332.687,29972.189,290.916
12,57332.687,29967.189,290.916
13,57337.687,29967.189,290.916
14,57337.687,29962.189,290.916
15,57342.687,29962.189,290.916
16,57342.687,29957.189,290.916
17,57347.687,29957.189,290.916
18,57352.687,29957.189,290.916
19,57352.687,29952.189,290.916
20,57357.687,29952.189,290.916
21,57357.687,29947.189,290.916
